Tune: The Duke of Buccleugh's Tune | L: 1/8
Tune: I Fee'd a Lad at Michaelmas | L: 1/8
Tune: The Miller's Wedding | L: 1/8
Tune: John O'Groats Jig | L: 1/8
Tune: Miss Wharton Duff | L: 1/8
Tune: The Five Stringed Fiddle | L: 1/8
Tune: The Skye Gathering | L: 1/16
Tune: The Boy's Lament for his Dragon | L: 1/8
Tune: Dark Island | L: 1/8
Tune: Dudley Street | L: 1/8
Tune: Andy Dejarlis Jig | L: 1/8
Tune: New Year's Day | L: 1/8
Tune: The Shakin's o' the Pocky | L: 1/8
Tune: Silver Wings Polka | L: 1/8
Tune: The Old Man | L: 1/8
Tune: Long Er Onie Old Man | L: 1/8
Tune: Edinburgh Jigg | L: 1/8
Tune: Flowers of Edinburgh | L: 1/8
Tune: The Tailor Made | L: 1/8
Tune: Dunnigall's Rant | L: 1/8
Tune: Ane Irish Tune | L: 1/8
Tune: Gallways Lament | L: 1/8
Tune: Trip to Kilkenny | L: 1/8
Tune: Charlie Hunter | L: 1/8
Tune: Waverley Steps | L: 1/8
Tune: The New Town of Edinburgh | L: 1/8
Tune: The Golden Pheasant | L: 1/8
Tune: Sir Torquil Monroe | L: 1/8
Tune: Elizabeth Donald | L: 1/8
Tune: Mrs Grace Bowie | L: 1/8
Tune: Inverary Castle | L: 1/8
Tune: Blodam Drain | L: 1/8
Tune: The Battle of Sherrifmuir | L: 1/8
Tune: The Dram Shell | L: 1/8
Tune: The Thornton Jig | L: 1/8
Tune: The Boys of Mallin | L: 1/8
Tune: Oot Pik Waltz | L: 1/4
Tune: Fang the Fiddlers | L: 1/8
Tune: The Princes Royal | L: 1/8
Tune: Lament for the Death of the Rev. Archie Beaton | L: 1/8
Tune: American Hornpipe | L: 1/8
Tune: Marchmont House | L: 1/8
Tune: Charlie Gore's Birthday | L: 1/8
Tune: Elsie Marley | L: 1/8
Tune: McKenzie Hay | L: 1/8
Tune: The Spey In Spate | L: 1/8
Tune: Highland Fling | L: 1/8
Tune: Irish Jig | L: 1/8
Tune: Irish Jig | L: 1/8
Tune: Irish Jig | L: 1/8
Tune: The Duke of Buccleugh's Tune | L: 1/8
Tune: I Fee'd a Lad at Michaelmas | L: 1/8
Tune: The Miller's Wedding | L: 1/8
Tune: John O'Groats Jig | L: 1/8
Tune: Miss Wharton Duff | L: 1/8
Tune: The Five Stringed Fiddle | L: 1/8
Tune: The Skye Gathering | L: 1/16
Tune: The Boy's Lament for his Dragon | L: 1/8
Tune: Dark Island | L: 1/8
Tune: Dudley Street | L: 1/8
Tune: Andy Dejarlis Jig | L: 1/8
Tune: New Year's Day | L: 1/8
Tune: The Shakin's o' the Pocky | L: 1/8
Tune: Silver Wings Polka | L: 1/8
Tune: The Old Man | L: 1/8
Tune: Long Er Onie Old Man | L: 1/8
Tune: Edinburgh Jigg | L: 1/8
Tune: Flowers of Edinburgh | L: 1/8
Tune: The Tailor Made | L: 1/8
Tune: Dunnigall's Rant | L: 1/8
